API명,특수문자여부,특수문자개수
"ex)http://www.daejeon.go.kr/썸네일경로
",Yes,8
"""ex)개인,법인""
",Yes,4
"Ex)다운로드url
",Yes,1
"http://www.daejeon.go.kr/biz/board/file/down.do?atflSeq=첨부파일일련번호
",Yes,13
"""ex)민간,사회복지법인,가정""
",Yes,5
"""ex)박세출,산업폐수최적공정설계기술개발""
",Yes,4
"""ex)생활시설,이용시설""
",Yes,4
"Ex)소통하는행정
",Yes,1
"희망원도심으로
",No,0
"함께사회적자본
",No,0
"경제복지환경
",No,0
"문화예술관광
",No,0
"과학도시대전
",No,0
"""ex)아동,모자,한센""
",Yes,5
"""ex)약국,한약국""
",Yes,4
"ex)의원
",Yes,1
"""ex)주유소등록현황.,일반판매소현황""
",Yes,5
"""ex)진료소,치과의원,한의원""
",Yes,5
"F:어촌
",Yes,1
"T:갯벌
",Yes,1
"F.C[공업분석AIRDRYBASIC(%)]
",Yes,6
"F(단위:mg/kg)
",Yes,4
"""F(한반도),R(레이더),E(남한)""
",Yes,10
"입력안하면'R'로처리
",Yes,2
"F/L
",Yes,1
"FAC_RATE(%)
",Yes,4
"FalseEasting값
",No,0
"FalseNorthing값
",No,0
"Family출원번호
",No,0
"FAX
",No,0
"fax번호
",No,0
"FAX번호
",No,0
"fieldVal1의지표값
",No,0
"fieldVal1의항목의미
",No,0
"fieldVal2의지표값
",No,0
"fieldVal2의항목의미
",No,0
"fieldVal3의지표값
",No,0
"fieldVal3의항목의미
",No,0
"fieldVal4의지표값
",No,0
"fieldVal4의항목의미
",No,0
"fieldVal5의지표값
",No,0
"fieldVal5의항목의미
",No,0
"fieldVal6의지표값
",No,0
"fieldVal6의항목의미
",No,0
"fieldVal7의지표값
",No,0
"fieldVal7의항목의미
",No,0
"flash를산출하기위한정보
",No,0
"flpltAraNo값(민속식물지역번호)
",Yes,2
"flpltId값(민속식물아이디)
",Yes,2
"fngsPilbkNo값(도감번호)
",Yes,2
"FPDP
",No,0
"FPDS
",No,0
"""FQC:FuzzyQC,OQC:OrpgQC,CQC:ChaffQC""
",Yes,7
"Fsc+niin
",Yes,1
"""Full,Empty구분""
",Yes,3
"G-골프회원권
",Yes,1
"C-콘도회원권
",Yes,1
"S-유가증권
",Yes,1
"G2B식별번호
",No,0
"GBIFNUB분류강
",No,0
"GBIFNUB분류계
",No,0
"GBIFNUB분류과
",No,0
"GBIFNUB분류목
",No,0
"GBIFNUB분류문
",No,0
"GBIFNUB분류속
",No,0
"GBIFNUB분류종
",No,0
"GC분석정보연계순번
",No,0
"gegokmountain:산/계곡
",Yes,2
"haesu:해수욕장
",Yes,1
"island:섬여행
",Yes,1
"nongwon:관광농원
",Yes,1
"resort:공원/유원지
",Yes,2
"sanup:산업체견학
",Yes,1
"sea:바다/등대/다리
",Yes,3
"GIS연계X좌표
",No,0
"GIS연계Y좌표
",No,0
"GMO명
",No,0
"GMO유무
",No,0
"GRIN분류강
",No,0
"GRIN분류계
",No,0
"GRIN분류과
",No,0
"GRIN분류목
",No,0
"GRIN분류문
",No,0
"GRIN분류속
",No,0
"GRIN분류종
",No,0
"grp_code_c=100
",Yes,3
"grp_code_c=1005
",Yes,3
"GRS80X좌표값
",No,0
"GRS80Y좌표값
",No,0
"GR인증번호
",No,0
"GR인증상태
",No,0
"GR인증상태에대한코드내용
",No,0
"GR인증시작일
",No,0
"GR인증종료일
",No,0
"GTIN코드(바코드)
",Yes,2
"GUST1
",No,0
"GUST2
",No,0
"gwct_xml_01_01:공원
",Yes,4
"gwct_xml_01_05:해변
",Yes,4
"gwct_xml_01_06:해안명소
",Yes,4
"gwct_xml_01_07:주요산행지
",Yes,4
"gwct_xml_01_09:호수/댐/섬
",Yes,6
"gwct_xml_01_10:하천
",Yes,4
"gwct_xml_01_12:자연생태
",Yes,4
"gwct_xml_01_13:폭포
",Yes,4
"gwct_xml_01_15:계곡
",Yes,4
"gwct_xml_02_01:스키/골프/리조트
",Yes,6
"gwct_xml_02_02:드라이브/유람선
",Yes,5
"gwct_xml_02_03:수상/육상/항공레포츠
",Yes,6
"gwct_x
",Yes,1
"gwct_xml_23_00:교과서속으뜸명소초등과정(저)
",Yes,6
"gwct_xml_23_01:교과서속으뜸명소초등과정(고)
",Yes,6
"gwct_xml_23_02:교과서속으뜸명소중등과정
",Yes,4
"gwct_xml_23_03:교과서속으뜸명소고등과정
",Yes,4
"h3~66예측값
",Yes,1
"HACCP인증내역
",No,0
"HACCP지정번호
",No,0
"HACCP지정일자
",No,0
"Hg(단위:mg/kg)
",Yes,4
"HH24:MI:SS형식
",Yes,2
"HHMM
",No,0
"hour_time날짜시간02015112305년도월일시
",Yes,1
"(지정일짜부터최근까지조회)
",Yes,2
"HPflag
",No,0
"HPLC분석정보연계순번
",No,0
"HP공고시작일
",No,0
"HP공고종료일
",No,0
"HP모집인원
",No,0
"HSCode
",No,0
"HTflag
",No,0
"Html<br>테그포함(개행효과)
",Yes,4
"http://guide.gyeongju.go.kr/하위주소
",Yes,7
"http://guide2.neotec.net/vr/vr_k.jsp?id=아이디연결
",Yes,11
"http://oneclick.law.
",Yes,5
"go.kr/CSP/
",Yes,3
"DeccRetrieveP.laf
",Yes,1
"?deccNo=&csmSeq=
",Yes,4
"12&ccfNo=3&
",Yes,3
"cciNo=44&
",Yes,2
"cnpClsNo=44로링크를건다
",Yes,1
"http://oneclick.law.
",Yes,5
"go.kr/CSP/
",Yes,3
"DetcRetrieveP.laf?detcNo=12
",Yes,3
"12&ccfNo=3&
",Yes,3
"cciNo=44&
",Yes,2
"cnpClsNo=44로링크를건다
",Yes,1
"http://oneclick.law.
",Yes,5
"go.kr/CSP/
",Yes,3
"ExpcRetrieveP.laf
",Yes,1
"?expcNo=csmSeq=
",Yes,3
"12&ccfNo=3&
",Yes,3
"cciNo=44&
",Yes,2
"cnpClsNo=44로링크를건다
",Yes,1
"http://oneclick.law.
",Yes,5
"go.kr/CSP/
",Yes,3
"PrecRetrieveP.laf?precNo=12
",Yes,3
"12&ccfNo=3&
",Yes,3
"cciNo=44&
",Yes,2
"cnpClsNo=44로링크를건다
",Yes,1
"http://oneclick.law.go.kr/
",Yes,7
"CSP/CnpClsMain.laf?
",Yes,3
"csmSeq=262&ccfNo=
",Yes,3
"3&cciNo=1&
",Yes,3
"cnpClsNo=6
",Yes,1
"이런포멧으로링크를걸면관심규정개요쪽으로링크
",No,0
"http://oneclick.law.go.kr/CSP/
",Yes,8
"DetcRetrieveP.laf?detcNo=12
",Yes,3
"12&ccfNo=3&
",Yes,3
"cciNo=44&
",Yes,2
"cnpClsNo=44로링크를건다
",Yes,1
"http://oneclick.law.go.kr/CSP/CnpClsMain.laf?csmSeq=262&ccfNo=
",Yes,13
"3&cciNo=1&cnpClsNo=6이런포멧으로링크를걸면관심규정개요쪽으로링크
",Yes,4
"http://oneclick.law.go.kr/CSP/CnpClsMain.laf?csmSeq=262&ccfNo=3&cciNo=1&cnpClsNo=6이런포멧으로링크를걸면관심규정개요쪽으로링크
",Yes,17
"http://oneclick.law.go.kr/CSP/DetcRetrieveP.laf?detcNo=1212&ccfNo=3&cciNo=44&cnpClsNo=44로링크를건다
",Yes,17
"http://oneclick.law.go.kr/CSP/OvCnpRetrieveP.laf?csmSeq=12&ccfNo=3&cciNo=44&cnpClsNo=44로링크를건다
",Yes,17
"http://oneclick.law.go.kr/CSP/PrecRetrieveP.laf?precNo=1212&ccfNo=3&cciNo=44&cnpClsNo=44로링크를건다
",Yes,17
"http://www.**.*.kr
",Yes,9
"http://www.daejeon.go.kr/thumbnail
",Yes,7
"Ex)
",Yes,1
"http://www.daejeon.go.kr/FileUpload/BEF/ION/administration/storyDaejeon/s013d5/__icsFiles/thumbnail/2014/03/21/1_LJH_2754s.JPG
",Yes,23
"http://www.daejeon.go.kr/thumbnail
",Yes,7
"Ex)
",Yes,1
"http://www.daejeon.go.kr/FileUpload/DRH/201405/280787_thumb.jpg
",Yes,12
"http://www.daejeon.go.kr뒤에경로를붙여서사진불러옴
",Yes,6
"http://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20160440192&bidseq=01&releaseYn=Y&taskClCd=3
",Yes,20
"""I:국제,D:국내""
",Yes,5
"""I:국제,D:국내,N:구분값없음""
",Yes,7
"I:도착(Inbound)/O:출발(Outbound)
",Yes,7
"""I:입력,U:수정,D:삭제""
",Yes,7
"I.M[공업분석AIRDRYBASIC(%)]
",Yes,6
"I=국내
",Yes,1
"O=해외
",Yes,1
"iBeacon규격MAJOR
",No,0
"iBeacon규격MINOR
",No,0
"iBeacon규격UUID
",No,0
"IC/JCTX좌표값
",Yes,1
"IC/JCTX좌표값(WGS84경위도자표)
",Yes,3
"IC/JCTY좌표값
",Yes,1
"IC/JCTY좌표값(WGS84경위도자표)
",Yes,3
"IC/JCT명
",Yes,1
"IC/JCT코드
",Yes,1
"ICSC번호
",No,0
"id
",No,0
"ID
",No,0
"IDI:황사지수
",Yes,1
"(해당위성구분:C)
",Yes,3
"Idx
",No,0
"IDX
",No,0
"II:입항IT:입항환적OO:출항OT:출항환적
",Yes,4
"Image
",No,0
"IMDGcode
",No,0
"IMGURL
",No,0
"IMO번호
",No,0
"IN:입국OUT:출국
",Yes,2
"IndexFungorum분류강
",No,0
"IndexFungorum분류계
",No,0
"IndexFungorum분류과
",No,0
"IndexFungorum분류목
",No,0
"IndexFungorum분류문
",No,0
"IndexFungorum분류속
",No,0
"IndexFungorum분류종
",No,0
"IndexSubNbr
",No,0
"INOUTGBND
",No,0
"""inq:접수일,end:종국일,adj:선고기일,upd:수정일""
",Yes,9
"insctGnrlNmNo값(곤충일반명번호)
",Yes,2
"insctScnmId값(곤충학명ID)
",Yes,2
"insctScnmId값(학명ID)
",Yes,2
"Int.Cl(IPC번호)
",Yes,3
"Int.Cl(IPC생성일)
",Yes,3
"""IOS(아이폰),AND(안드로이드),WIN(윈도우폰),ETC(WEB이나기타등등)""
",Yes,13
"IPC번호
",No,0
"IPC분류
",No,0
"IPR정책
",No,0
"IPR정책분류
",No,0
"ISBN
",No,0
"ISBN번호
",No,0
"ISBN부가기호
",No,0
"isctSpcmNo값(표본번호)
",Yes,2
"ISO국가코드
",No,0
"ISSN
",No,0
"ISSN번호
",No,0
"item번호
",No,0
"ITIS분류강
",No,0
"ITIS분류계
",No,0
"ITIS분류과
",No,0
"ITIS분류목
",No,0
"ITIS분류문
",No,0
"ITIS분류속
",No,0
"ITIS분류종
",No,0
"IUPAC명
",No,0
"January
",No,0
"""JPN,ENG,KOR,CHI""
",Yes,5
"jQuery사용자용
",No,0
"""json(json응답기본값),xml(xml응답""
",Yes,6
"""json(json응답기본값),xml(xml응답)""
",Yes,7
"JSONString
",No,0
"judgeSexNm
",No,0
"KEY_CALL_LETTER
",Yes,2
"KEY_SER_NO
",Yes,2
"KEY_YR
",Yes,1
"Key값
",No,0
"Kipiris등록번호
",No,0
"KiprisIPC(IPC1st)
",Yes,2
"KiprisIPC명칭
",No,0
"KiprisIPC목록
",No,0
"KiprisKSIC산업분류
",No,0
"Kipris공개번호
",No,0
"Kipris공개일자
",No,0
"Kipris등록번호
",No,0
"Kipris등록일자
",No,0
"Kipris발명명칭
",No,0
"Kipris발명인
",No,0
"Kipris요약(사이즈없음)
",Yes,2
"Kipris제품명칭
",No,0
"Kipris제품분류
",No,0
"Kipris청구범위(사이즈없음)
",Yes,2
"Kipris출원국가명칭
",No,0
"Kipris출원국가코드
",No,0
"Kipris출원번호
",No,0
"Kipris출원인
",No,0
"Kipris출원일자
",No,0
"Kipris패밀리특허목록
",No,0
"kor:한국어
",Yes,1
"jpn:일본어
",Yes,1
"chi:중국어
",Yes,1
"eng:영어
",Yes,1
"ger:독일어
",Yes,1
"fre:불어
",Yes,1
"zzz:기타
",Yes,1
"""kor:한국어,chi,jap,rus""
",Yes,6
"""kor:한국어,chi:중국어,jap:일본어,rus:러시아어""
",Yes,9
"Kosis연결주소
",No,0
"KSIC산업분류명칭
",No,0
"LAST업데이트일자
",No,0
"latin명
",No,0
"LAU번호
",No,0
"lchnPilbkNo값(지의류도감번호)
",Yes,2
"LCS_ID
",Yes,1
"LCS구간길이(km)
",Yes,2
"LCS그룹ID
",No,0
"LCS그룹명
",No,0
"LIKE검색
",No,0
"List형
",No,0
"LNG
",No,0
"LNG(ton)
",Yes,2
"LNG(단위:ton)
",Yes,3
"LNG(톤)
",Yes,2
"LOGPOW정보
",No,0
"LOT-NO
",Yes,1
"LOT-NO제조번호
",Yes,1
"LSWR(단위:liter)
",Yes,3
"ltrtrNo값(문헌번호)
",Yes,2
"Lunarnewyear
",No,0
"M:모텔
",Yes,1
"G:게스트하우스
",Yes,1
"H:호텔
",Yes,1
"S:특급호텔
",Yes,1
"M:수컷
",Yes,1
"F:암컷
",Yes,1
"Q:미상
",Yes,1
"""M:순시,A:적산차""
",Yes,5
"M=분단위로생성된데이터
",Yes,1
"㎡
",Yes,1
"M202:국가지정문화재
",Yes,1
"M203:도지정문화재
",Yes,1
"M204:문화유적
",Yes,1
"m2면적
",No,0
"""male:남성,female:여성""
",Yes,5
"Map형
",No,0
"marketNm
",No,0
"""MAT0000002:금속및무기산화물,MAT0000003:고분자,MAT0000001:탄소계,MAT000000004:기타""
",Yes,9
"MBB발행일자
",No,0
"MBS발행일자
",No,0
"""MDFEE_NM:수가코드명,MDFEE_CD:수가코드""
",Yes,7
"memberAndStockList에서확인한salesItemId입력
",No,0
"MENU:분류항목
",Yes,1
"ITEM:문화재정보
",Yes,1
"MethodTitle
",No,0
"mg/L
",Yes,1
"㎎/L
",Yes,2
"㎎/㎥
",Yes,3
"miltDivs의명칭
",No,0
"mood=분위기별
",Yes,1
"inte=인테리어별
",Yes,1
"price=가격대별
",Yes,1
"age=연령대별
",Yes,1
"MRL값
",No,0
"MRN
",No,0
"MRN/BL번호
",Yes,1
"MRN번호
",No,0
"MSDDB-5MB
",Yes,1
"MSN
",No,0
"MSN번호
",No,0
"""N:등급별조회,Y:육질등급별조회""
",Yes,5
"N:운행안함/Y:운행
",Yes,3
"""N:일반,Y:중앙차로""
",Yes,5
"""N:일반(가로변),Y:중앙차로""
",Yes,7
"""N:품명변경,C:분류이동""
",Yes,5
"N/A
",Yes,1
"NCBI분류강
",No,0
"NCBI분류계
",No,0
"NCBI분류과
",No,0
"NCBI분류목
",No,0
"NCBI분류문
",No,0
"NCBI분류속
",No,0
"NCBI분류종
",No,0
"NFPA코드
",No,0
"NH3(단위:ton)
",Yes,3
"Ni(단위:mg/kg)
",Yes,4
"NIX파일배포기관명
",No,0
"NIX파일배포부서명
",No,0
"NIX파일배포부서전화번호
",No,0
"NO2(ppm)
",Yes,2
"NOx(단위:ton)
",Yes,3
"NPDDB-17
",Yes,1
"NPDDB-5
",Yes,1
"NQC:NoneQC
",Yes,1
"ns단위시각
",No,0
"NTP
",No,0
"ntpltId값(귀화식물ID)
",Yes,2
"NTU
",No,0
"null일경우1
",No,0
"null일경우10
",No,0
"null일경우asc
",No,0
"null일경우score
",No,0
"null일경우전체필드대상(all)검색
",Yes,2
"Number
",No,0
"N이면일반
",No,0
"Y이면중앙차로
",No,0
"O-지번
",Yes,1
"N-도로명
",Yes,1
"O-지번
",Yes,1
"N-도로명
",Yes,1
"(회원권시사용)
",Yes,2
"O/중택1
",Yes,1
"O3(ppm)
",Yes,2
"OBJECTID
",No,0
"OECD여부
",No,0
"OECD여부(Y/N)
",Yes,3
"OFFLINE정원
",No,0
"OK일경우요청이성공하였습니다.
",Yes,1
"이상이있을경우관련메시지가표시됩니다.
",Yes,1
"ONLINE정원
",No,0
"OO:수출
",Yes,1
"OO:출항
",Yes,1
"Optional필드
",No,0
"org구분번호
",No,0
"org행사일련번호
",No,0
"ORIENTMAP.ZONE_YYORIGIN_YEAR--작성년도
",Yes,5
"OSHA
",No,0
"OSL0038
",No,0
"p:인쇄
",Yes,1
"e:전자
",Yes,1
"a:인쇄+전자
",Yes,2
"P:일반시설
",Yes,1
"I:체육시설
",Yes,1
"PATH
",No,0
"Pb(단위:mg/kg)
",Yes,4
"PCB(mg/L)
",Yes,3
"PCB(단위:mg/kg)
",Yes,4
"PCE(㎎/L)
",Yes,4
"PCE(단위:mg/kg)
",Yes,4
"PC여부
",No,0
"PDFLINKURL
",No,0
"PDFURL
",No,0
"PDF다운로드url주소입니다.
",Yes,1
"PERM_DT_P
",Yes,2
"PERMIT_GUBUN
",Yes,1
"perpormance1:공연
",Yes,1
"perporm_display:전시
",Yes,2
"PH
",No,0
"pH
",No,0
"pH(-)
",Yes,3
"pH(단위:mg/kg)
",Yes,4
"Pka정보
",No,0
"plantGnrlNmNo값(국명번호)
",Yes,2
"plantPilbkNo값(도감번호)
",Yes,2
"plntSpcmNo값(표본번호)
",Yes,2
"PM-10(㎍/㎥)
",Yes,6
"PM10(단위:ton)
",Yes,3
"PM2.5(단위:ton)
",Yes,4
"PMS만료일
",No,0
"pnu
",No,0
"PO4-P(mg/L)
",Yes,4
"POIID
",No,0
"POI식별코드
",No,0
"POI이름
",No,0
"poi좌표X
",No,0
"poi좌표Y
",No,0
"Port-MIS코드정보조회서비스내국가코드조회서비스를통해조회가능함.
",Yes,2
"Port-MIS코드정보조회서비스내선박제원조회서비스를통해조회가능함
",Yes,1
"Port-MIS코드정보조회서비스내선박제원조회서비스를통해조회가능함.
",Yes,2
"Port-MIS코드정보조회서비스내위험물코드조회서비스를통해조회가능함.
",Yes,2
"Port-MIS코드정보조회서비스내항만시설코드조회서비스를통해조회가능함
",Yes,1
"Port-MIS코드정보조회서비스내항만시설코드조회서비스를통해조회가능함.
",Yes,2
"Port-MIS코드정보조회서비스내화물품목통계분류조회서비스를통해조회가능함.
",Yes,2
"PQ대상공고에서PQ심사신청서를어떻게받을지에대한코드명
",No,0
"pq심사구분
",No,0
"PQ심사신청서접수마감일시“YYYY-MM-DDHH:MM:SS”
",Yes,6
"PROFILED공급가능용량(MWh)
",Yes,2
"PROFILED재선언공급가능용량(MWh)
",Yes,2
"QC번호
",No,0
"QUALIFICATION
",No,0
"qualificationMRLs
",No,0
"R0100:한식
",Yes,1
"R0200:양식
",Yes,1
"R0300:중식
",Yes,1
"R0400:일식
",Yes,1
"R0500:횟집
",Yes,1
"R0600:기타
",Yes,1
"realEstateList에서받은bankruptId
",No,0
"REQ_DT_P
",Yes,2
"RESIDUE-CODEX
",Yes,1
"RESIDUE-미국
",Yes,1
"RESIDUE-유럽
",Yes,1
"RESIDUE-일본
",Yes,1
"RESIDUE-한국
",Yes,1
"resultCode
",No,0
"resultCode가00일경우
",No,0
"신청번호
",No,0
"resultMsg
",No,0
"riv_nm
",Yes,1
"rivNm
",No,0
"RI폐기물반입량
",No,0
"단위:드럼
",Yes,1
"RMS_ID
",Yes,1
"rmsLocaNm
",No,0
"RMS운영모드
",No,0
"구분코드
",No,0
"RMS운영모드
",No,0
"구분코드명
",No,0
"RMS운영모드구분명
",No,0
"RMS운영모드구분코드
",No,0
"RMS운영모드구분코드명
",No,0
"ROW
",No,0
"ROWNUMBER
",No,0
"row번호
",No,0
"rsfrsNo값(보호림번호)
",Yes,2
"RTECS번호
",No,0
"""RUN:운행중,PASS:운행중,STOP:운행종료,WAIT:회차지대기""
",Yes,9
"RUN:운행중PASS:운행중STOP:운행종료WAIT:회차지대기
",Yes,4
"""S:기점,E:종점""
",Yes,5
"S:기점E:종점
",Yes,2
"""S=기점,E=종점""
",Yes,5
"S0.3(단위:liter)
",Yes,4
"S001-매각검토
",Yes,1
"S002-매각진행
",Yes,1
"S003-매각완료
",Yes,1
"S1F-1C-2C-3C-4C-G1F통과지점별통과순위
",Yes,5
"S2.5(단위:liter)
",Yes,4
"salesArtworkList에서확인한salesArtworkId입력
",No,0
"salesEtcList에서확인한salesEtcId입력
",No,0
"sat-img-file파일배열4001예제참조황사위성영상이미지영상파일배열
",Yes,2
"-파일명마지막에부분년월일일시분은UTC(KST?9)기준에따름
",Yes,4
"""SCI,SCIE,SSCI,A&HCI,한국연구재단,한국연구재단(후보),SCOPUS""
",Yes,11
"seedNo값(종자번호)
",Yes,2
"seoul
",No,0
"gangwon
",No,0
"incheon
",No,0
"kyunggi
",No,0
"chungbuk
",No,0
"chungnam
",No,0
"kyungbuk
",No,0
"daejeon
",No,0
"daegu
",No,0
"jeonbuk
",No,0
"kyungnam
",No,0
"ulsan
",No,0
"kwangju
",No,0
"busan
",No,0
"jeonnam
",No,0
"jeju
",No,0
"Shippercode
",No,0
"""SICK_CD:상병코드,SICK_NM:상병명""
",Yes,7
"SLBS발행일자
",No,0
"SMP-제주(원/KWh)
",Yes,4
"SMP(원/KWh)
",Yes,3
"SMS발신여부
",No,0
"SMS수신가능여부
",No,0
"SMS수신가능전화번호
",No,0
"SO2(ppm)
",Yes,2
"""SOR01보물,""
",Yes,3
"""SOR02중요민속문화재,""
",Yes,3
"""SOR03천연기념물,""
",Yes,3
"""SOR04중요무형문화재,""
",Yes,3
"""SOR05유형문화재,""
",Yes,3
"""SOR06무형문화재,""
",Yes,3
"""SOR07민속문화재,""
",Yes,3
"""SOR08기념물,""
",Yes,3
"SOR09문화재자료
",No,0
"Sound-소리있음
",Yes,1
"Silent-소리없음
",Yes,1
"SOx(단위:ton)
",Yes,3
"SP2000분류강
",No,0
"SP2000분류계
",No,0
"SP2000분류과
",No,0
"SP2000분류목
",No,0
"SP2000분류문
",No,0
"SP2000분류속
",No,0
"SP2000분류종
",No,0
"SS(m3/일)
",Yes,3
"SS(mg/l)
",Yes,3
"SS(mg/L)
",Yes,3
"SS(㎎/ℓ)
",Yes,5
"stpltScnmId값(학명ID)
",Yes,2
"strokesid
",No,0
"""SUBSTR(AIR_ORIENTMAP_DTS.ZONE_CODE,1,4)ZONE_YY""
",Yes,11
"""SUBSTR(ORT_PRODUCT_DTS_DTS.ZONE_CODE,1,4)ZONE_YY""
",Yes,12
"""SUBSTR(ORT_PRODUCT_DTS.ZONE_CODE,1,4)ZONE_YY""
",Yes,11
"SUP_CAP(MW)
",Yes,3
"SUP_RATE(%)
",Yes,4
"SW사업대상여부
",No,0
"systemorder값(생물종분류정보코드)
",Yes,2
"T-N(mg/L)
",Yes,4
"T-N(㎎/ℓ)
",Yes,6
"T-P(mg/L)
",Yes,4
"""T:기술자격,S:전문자격""
",Yes,5
"T0401_관리번호(Kipris관리번호)
",Yes,3
"T0402_관리번호(선언파일관리번호)
",Yes,3
"TAG006_A
",Yes,1
"TAG008_SA
",Yes,1
"TCE(㎎/L)
",Yes,4
"TCE(단위:mg/kg)
",Yes,4
"""TCS:1,Hi-Pass:2""
",Yes,6
"TCS/hi-pass구분
",Yes,2
"TCS/hi-pass구분명
",Yes,2
"TCS노선명
",No,0
"TCS노선번호
",No,0
"TCS노선코드
",No,0
"TCS본부명
",No,0
"TCS본부코드
",No,0
"TCS지사명
",No,0
"TCS지사코드
",No,0
"TCS차종구분명
",No,0
"TCS차종구분코드
",No,0
"TCS차종유형구분명
",No,0
"TCS차종유형구분코드
",No,0
"TEND_TP
",Yes,1
"ThumbnailImage
",No,0
"TIR
",No,0
"TITLE=공원명
",Yes,1
"ADDRESS=도로명주소검색
",Yes,1
"SECTION=공원구분
",Yes,1
"(소공원/어린이공원/근린공원/역사공원/문화공원/수변공원/묘지공원/체육공원/도시농업공원으로구분)
",Yes,10
"TITLE=시설명
",Yes,1
"ADDRESS=도로명주소검색
",Yes,1
"SECTION=시설종류
",Yes,1
"(초등학교/유치원/특수학교/어린이집/학원으로구분)
",Yes,6
"CCTV=CCTV설치여부
",Yes,1
"""(설치,미설치)""
",Yes,5
"TITLE=제목
",Yes,1
"DATE=행사일검색
",Yes,1
"(입력형식:YYYY-MM-DD)
",Yes,5
"CONTENT=내용
",Yes,1
"TITLE=제목
",Yes,1
"WRITER_NM=작성자
",Yes,2
"TITLE=제목
",Yes,1
"WRITER_NM=작성자
",Yes,2
"CONTENT=내용
",Yes,1
"Title국문
",No,0
"Title영문
",No,0
"TL2
",No,0
"TM좌표X값
",No,0
"""중부원점(원점가수:20만,50만)""
",Yes,6
"타원체베셀현재의세계측지계로변환하려면
",No,0
"""타원체변경(Bessel->GRS80),""
",Yes,7
"""중부원점가수변경(20만,50만->20만,60만),보정값적용(경도10.405초보정)""
",Yes,12
"TM좌표Y값
",No,0
"""중부원점(원점가수:20만,50만)""
",Yes,6
"타원체베셀현재의세계측지계로변환하려면
",No,0
"""타원체변경(Bessel->GRS80),""
",Yes,7
"""중부원점가수변경(20만,50만->20만,60만),보정값적용(경도10.405초보정)""
",Yes,12
"TM측정방식Y좌표
",No,0
"TN(m3/일)
",Yes,3
"TN(mg/l)
",Yes,3
"TOT_USE_F_DT
",Yes,3
"TOT_USE_T_DT
",Yes,3
"totalTeu
",No,0
"tour:관광지
",Yes,1
"shopping:쇼핑지
",Yes,1
"food:음식점
",Yes,1
"lodging:숙박업소
",Yes,1
"TP_ID
",Yes,1
"TP(m3/일)
",Yes,3
"TP(mg/l)
",Yes,3
"TPH(단위:mg/kg)
",Yes,4
"true:checked
",Yes,1
"false:unchecked
",Yes,1
"TSP(단위:ton)
",Yes,3
"TV여부
",No,0
"TXPOWER설정값
",No,0
"ucc동영상주소입니다.(Flashurl)
",Yes,3
"UNSPSC물품분류체계를기반으로하는4단계계층구조로이루어진8자리번호
",No,0
"UNSPSC에서분류된세뷴류의품명보다세분화가필요한품명에부여한10자리번호
",No,0
"UN번호
",No,0
"URI
",No,0
"URL
",No,0
"""url인코딩(예:장애인,임산부등)""
",Yes,6
"V.M[공업분석AIRDRYBASIC(%)]
",Yes,6
"V500(단위:liter)
",Yes,3
"VDS_ID
",Yes,1
"VDSID
",No,0
"VDS존길이
",No,0
"VDS존시작이정
",No,0
"VDS존유형
",No,0
"VDS존유형구분코드
",No,0
"VDS존종료이정
",No,0
"view_code_list의국적코드
",Yes,2
"view_code_list의소장구분코드
",Yes,2
"view_code_list의용도/기능분류코드
",Yes,3
"view_code_list의재질코드
",Yes,2
"view_code_list의지정문화재코드
",Yes,2
"view_code_list의출토지코드
",Yes,2
"view_code_list의크기범위코드
",Yes,2
"VMSID
",No,0
"vms내용
",No,0
"vms내용2
",No,0
"VOC(단위:ton)
",Yes,3
"VRXML명
",No,0
"""W2:강풍주의보,""
",Yes,4
"W3:강풍경보
",Yes,1
"""R2:호우주의보,""
",Yes,4
"R3:호우경보
",Yes,1
"""S2:대설주의보,""
",Yes,4
"S3:대설경보
",Yes,1
"""H2:폭염주의보,""
",Yes,4
"H3:폭염경보
",Yes,1
"""D2:건조주의보,""
",Yes,4
"D3:건조경보
",Yes,1
"""C2:한파주의보,""
",Yes,4
"C3:한파경보
",Yes,1
"""T2:태풍주의보,""
",Yes,4
"T3:태풍경보
",Yes,1
"""W2:강풍주의보,W3:강풍경보""
",Yes,5
"""R2:호우주의보,R3:호우경보""
",Yes,5
"""S2:대설주의보,S3:대설경보""
",Yes,5
"""H2:폭염주의보,H3:폭염경보""
",Yes,5
"""D2:건조주의보,D3:건조경보""
",Yes,5
"""C2:한파주의보,C3:한파경보""
",Yes,5
"""T2:태풍주의보,T3:태풍경보""
",Yes,5
"WEBCONFIRM
",No,0
"WEBSTATUS
",No,0
"WGS84경도
",No,0
"WGS84경도좌표
",No,0
"WGS84위도
",No,0
"WGS84위도좌표
",No,0
"WKT좌표계지리정보
",No,0
"WMO지점번호
",No,0
"wrkDtTo
",No,0
"w평일/H공휴일
",Yes,1
"W평일/H공휴일
",Yes,1
"X_지도_좌표
",Yes,2
"""XML,JSON""
",Yes,3
"""Xml,Json""
",Yes,3
"""xml,json""
",Yes,3
"""xml,json,xls""
",Yes,4
"""xml(기본값),json""
",Yes,5
"XML/JSON
",Yes,1
"""XML/JSON,기본값:xml""
",Yes,5
