필드명	행정표준용어	매칭결과
관광지명	임대료	#N/A
문의처	임대사업자	#N/A
관광지주소	임대자	#N/A
위도(WGS84)	임대주택	#N/A
경도(WGS84)	임대차	#N/A
이용시간	임도	#N/A
휴무일	임면	#N/A
홈페이지 주소	임명	#N/A
입장료(단위:원)	임목	#N/A
관광지 소개	임목육종	#N/A
관광지 내용	임무	#N/A
주차시설	임산공학	#N/A
주차요금(단위:원)	임산물	#N/A
부대편의시설 항목 나열	임산부	#N/A
대표이미지	임상	#N/A
공공데이터포털에서 받은 인증키	임상심리	#N/A
게시물 일련번호로 조회	임시	#N/A
결과코드	임시개청	#N/A
결과메시지	임시건강진단	#N/A
전체 결과 수	임시시장	#N/A
데이터 번호	임시영치	#N/A
파일 실제이름	임시작업	#N/A
이미지 파일 설명	임시직	#N/A
이미지 파일 논리명	임신	#N/A
이미지 파일 고유값	임야	#N/A
이미지 원본 파일명	임업	#N/A
이미지 �뺙戮� 파일명	임업인	#N/A
공공데이터포털에서 받은 인증키	임업총조사	#N/A
현재 위치의 위도값(WGS84)	임업후계자	#N/A
현재 위치의 경도값(WGS84)	임용	#N/A
반경거리(km)	임용권자	#N/A
결과코드	임원	#N/A
결과메시지	임의	#N/A
전체 결과 수	임의경매절차	#N/A
데이터번호	임의관할	#N/A
반경거리(km)	임의소각	#N/A
관광지명	임의준비금	#N/A
문의처	임의청산	#N/A
관광지주소	임지	#N/A
위도(WGS84)	임차	#N/A
경도(WGS84)	임차권	#N/A
이용시간	임차인	#N/A
휴무일	임차자	#N/A
홈페이지 주소	임차차량	#N/A
입장료(단위:원)	임치	#N/A
관광지 소개	임포트	#N/A
관광지 내용	임해	#N/A
주차시설	입각	#N/A
주차요금(단위:원)	입간판	#N/A
부대편의시설 항목 나열	입거	#N/A
대표이미지	입건	#N/A
공공데이터포털에서 받은 인증키	입경	#N/A
페이지번호	입고	#N/A
한 페이지 결과 수	입고자	#N/A
주요 검색어	입고처	#N/A
검색어 명 또는 문화재구분으로 검색된 자료의 dataSid값	입교	#N/A
문화재 구분	입국	#N/A
결과코드	입국검사장	#N/A
결과메시지	입국장	#N/A
한 페이지 결과 수	입국지세관	#N/A
페이지번호	입금	#N/A
전체 결과 수	입금인	#N/A
문화재 주소	입금일	#N/A
문화재 소개	입금자	#N/A
문화재 지정분류	입당	#N/A
문화재 지정일	입대	#N/A
문화재 구분	입량	#N/A
문화재 지정구분	입력	#N/A
문화재 문화재명	입력일	#N/A
문화재 문의처	입력자	#N/A
데이터번호	입목	#N/A
대표이미지	입방체	#N/A
경도(WGS84)	입법	#N/A
위도(WGS84)	입법권	#N/A
공공데이터포털에서 받은 인증키	입사	#N/A
게시물 일련번호로 조회	입사일	#N/A
결과코드	입상	#N/A
결과메시지	입소	#N/A
전체 결과 수	입수	#N/A
데이터 번호	입안	#N/A
파일 실제이름	입양	#N/A
이미지 파일 설명	입양아동	#N/A
이미지 파일 논리명	입어	#N/A
이미지 파일 고유ID	입어권	#N/A
이미지 원본 파일명	입영	#N/A
이미지 �뺙戮� 파일명	입원	#N/A
서비스 인증키	입원환자	#N/A
좌표(x)	입자	#N/A
좌표(y)	입장	#N/A
자료고유인덱스	입장료	#N/A
명칭	입적	#N/A
소개	입주	#N/A
대표이미지	입주기관	#N/A
구분	입주기업체	#N/A
좌표(x)	입증	#N/A
좌표(y)	입증책임	#N/A
서비스 인증키	입지	#N/A
좌표(x)	입차	#N/A
좌표(y)	입찰	#N/A
자료고유인덱스	입찰자	#N/A
명칭	입체	#N/A
소개	입출	#N/A
대표이미지	입출고	#N/A
구분	입출금	#N/A
좌표(x)	입출력	#N/A
좌표(y)	입출항처리세관직원	#N/A
서비스 인증키	입학	#N/A
좌표(x)	입학금	#N/A
좌표(y)	입항	#N/A
자료고유인덱스	입항적하목록	#N/A
명칭	입항전수입신고	#N/A
소개	입항전신고	#N/A
대표이미지	입회	#N/A
구분	입회자	#N/A
좌표(x)	입후보	#N/A
좌표(y)	입후보자	#N/A
(NULL)	잉여	#N/A
(NULL)	자	#N/A
(NULL)	자가보험	#N/A
(NULL)	자가사용	#N/A
(NULL)	자가용	#N/A
(NULL)	자가용	#N/A
공공데이터포털에서 받은 인증키	자가용보세창고	#N/A
페이지번호	자가용전기설비	#N/A
한 페이지 결과 수	자가전기통신설비	#N/A
결과코드	자가통관	#N/A
결과메시지	자격	#N/A
한 페이지 결과 수	자격상실	#N/A
3	자격정지	#N/A
전체 결과 수	자격주	#N/A
item 번호	자격증	#N/A
주소	자구행위	#N/A
A[상급종합병원, 종합병원]	자국	#N/A
병원분류명	자궁	#N/A
기관명	자금	#N/A
대표전화1	자금세탁방지국제기구	#N/A
기관ID : 동일테이블에 기관명을 포함하고 있음	자금세탁자	#N/A
명절비상진료일자1	자금세탁행위	#N/A
명절비상진료일자2	자금수입	#N/A
명절비상진료일자3	자금예산	#N/A
명절비상진료일자4	자금지원	#N/A
명절비상진료일자5	자금지출	#N/A
명절비상진료일자6	자급	#N/A
명절비상진료일자7	자기	#N/A
명절비상진료일자8	자기	#N/A
명절비상진료일자9	자기개발	#N/A
명절비상진료일자10	자기계약	#N/A
비고	자기앞수표	#N/A
명절비상진료시간1	자기앞어음	#N/A
명절비상진료시간2	자기자본	#N/A
명절비상진료시간3	자기주식	#N/A
명절비상진료시간4	자녀	#N/A
명절비상진료시간5	자동	#N/A
명절비상진료시간6	자동납부	#N/A
명절비상진료시간7	자동수출제도	#N/A
명절비상진료시간9	자동이체	#N/A
명절비상진료시간9	자동차	#N/A
명절비상진료시간10	자동차관리법	#N/A
카테고리 코드	자동차관리사업	#N/A
코드	자동차대여사업	#N/A
코드명	자동차매매업	#N/A
(NULL)	자동차보유자	#N/A
(NULL)	자동차보험	#N/A
(NULL)	자동차사용자	#N/A
(NULL)	자동차세	#N/A
(NULL)	자동차운전학원	#N/A
(NULL)	자동차전용도로	#N/A
도축장코드	자동차전용선박	#N/A
도축장명	자동차정비업	#N/A
도체중	자동차폐차업	#N/A
가공장	자동화	#N/A
개체식별번호	자동화선박	#N/A
출생연월일	자력	#N/A
소의종류코드	자료	#N/A
소의종류	자료관리시스템	#N/A
성별코드	자료실	#N/A
성별	자리수	#N/A
백신최종접종일	자매결연자	#N/A
백신최종접종차수	자문	#N/A
도축장 주소	자문기관	#N/A
도축연월일	자물쇠	#N/A
도축검사	자바빈즈	#N/A
육질등급명	자발	#N/A
(NULL)	자병원	#N/A
개체식별번호	자본	#N/A
소유자	자본거래	#N/A
이동 구분	자본금	#N/A
이동 연월일	자본잉여금	#N/A
사육지	자본재	#N/A
개체/이력/묶음번호	자본적지출	#N/A
"조회하려는 정보 옵션값
1~7 : 개체/이력, 8~9 : 묶음
1 : 개체(소), 사육(돼지)
2 : 출생 등 신고(소)
3 : 도축(소/돼지)
4 : 포장(소/돼지)
5 : 구제역백신(소)
6 : 질병정보(소)
7 : 브루셀라(소)
8 : 묶음 기본정보(묶음)
9 : 묶음구성내역(묶음)"	자본준비금	#N/A
묶음을 구성한 업소의 사업자 번호	자본지분표	#N/A
도축장 주소	자본화	#N/A
도축장명	자비유학	#N/A
도축일자	자사	#N/A
소 개체번호	자사주	#N/A
사업자번호	자산	#N/A
농장주소	자산관리인	#N/A
등급명	자산관리회사	#N/A
묶음번호	자산담보부증권	#N/A
소의 종류	자산보관회사	#N/A
포장처리업소 주소	자산보유자	#N/A
묶음구성업소명	자산운용협회	#N/A
도축장 주소	자산위탁	#N/A
도축장명	자산재평가	#N/A
도축일자	자산평가	#N/A
농장소재지	자살	#N/A
농장경영자	자선	#N/A
농장식별번호	자승	#N/A
이력번호	자식	#N/A
도축장 주소	자신	#N/A
도축장명	자연	#N/A
도축일자	자연경관	#N/A
"합격 : Y,
불합격 : N
보류 : H"	자연공원	#N/A
돼지 이력번호	자연권	#N/A
등급명	자연림	#N/A
돼지 이력번호	자연보전지역	#N/A
포장처리업소 주소	자연사	#N/A
도축장명	자연생태	#N/A
포장처리일자	자연생태계	#N/A
사업자번호	자연유보지역	#N/A
등급명	자연자산	#N/A
묶음번호	자연재난	#N/A
포장처리업소 소재지	자연재해	#N/A
포장처리업소명	자연환경	#N/A
포장처리일자	자연환경보전	#N/A
사업자번호	자연휴양림	#N/A
농장 소재지	자영업	#N/A
사육자명	자외선	#N/A
"이력(묶음)번호 
* 재묶음인경우 묶음번호일수 있습니다."	자원	#N/A
"CATTLE/CATTLE_NO : 소 개체
CATTLE/LOT_NO : 소 묶음
PIG/PIG_NO : 돼지 이력
PIG/LOT_NO : 돼지 묶음"	자원비축시설	#N/A
"조회 정보 옵션값
1~7 : 개체/이력, 8~9 : 묶음
1 : 개체(소), 사육(돼지)
2 : 출생 등 신고(소)
3 : 도축(소/돼지)
4 : 포장(소/돼지)
5 : 구제역백신(소)
6 : 질병정보(소)
7 : 브루셀라(소) 
8 : 묶음 기본정보(묶음)
9 : 묶음구성내역(묶음)"	자위	#N/A
출생년월일	자위권	#N/A
이력번호	자위대	#N/A
재부착번호	자유	#N/A
소의 종류	자유무역지역	#N/A
수입경과월	자유무역협정	#N/A
수입국가	자유발명	#N/A
성별	자유이용정보	#N/A
농장식별번호	자유지역반입신고	#N/A
사육지	자유항	#N/A
소유주	자유형	#N/A
신고구분	자율	#N/A
년월일	자율관리보세구역	#N/A
도축장 주소	자율소요량	#N/A
도축장명	자율심사대상업체	#N/A
도축일자	자율항목	#N/A
육질등급	자일렌	#N/A
"도축검사결과
합격/불합격/보류"	자재	#N/A
포장처리업소 주소	자전거	#N/A
포장처리업소명	자전거도로	#N/A
구제역 백신접종경과일	자전거이용시설	#N/A
구제역 예방접종최종일자	자전거횡단도	#N/A
구제역 백신접종 차수	자주	#N/A
질병유무	자주묻는질문	#N/A
브루셀라 검사최종일자 ※ 실시간으로 조회되지 않아 정보가 다를 수 있습니다.	자진	#N/A
브루셀라 검사결과	자진신고	#N/A
사업자번호	자진신고자	#N/A
묶음번호	자질	#N/A
묶음구성업소 주소	자체	#N/A
묶음구성업소명	자체감사	#N/A
페이지번호	자체감사기구	#N/A
한페이지결과수	자체감사인	#N/A
직급	자체처분	#N/A
조회된 정보의	자체평가	#N/A
페이지번호	자치	#N/A
한페이지의결과수	자치구	#N/A
직급코드	자치권	#N/A
직급명	자치단체	#N/A
직급전체명	자치법규	#N/A
기관 구분	자치행정	#N/A
기간명 검색어	자타	#N/A
지역코드	자택	#N/A
키워드 검색어	자판	#N/A
입력형식(yyyy-mm-dd)	자판기	#N/A
입력형식(yyyy-mm-dd)	자폐증	#N/A
"1 = 오름차순 
2 = 내림차순
default = 1"	자활	#N/A
공공취업정보일렬번호	자회사	#N/A
"e01:공개경쟁채용정보
e02:특별채용
e03:별정직/계약직
e04:행정지원인력
e05:개방형직위
e06:공모직위
e07:전입공모
e08:공공기관공모"	작가	#N/A
"공공취업정보
일렬번호"	작곡	#N/A
제목	작곡가	#N/A
"1 = 오름차순 
2 = 내림차순
default = 1"	작곡자	#N/A
공공취업정보일렬번호	작동	#N/A
"e01:공개경쟁채용정보
e02:특별채용
e03:별정직/계약직
e04:행정지원인력
e05:개방형직위
e06:공모직위
e07:전입공모
e08:공공기관공모"	작명	#N/A
기관 구분	작문	#N/A
기간명 검색어	작물	#N/A
지역코드	작물통계조사	#N/A
키워드 검색어	작부체계	#N/A
입력형식(yyyy-mm-dd)	작성	#N/A
입력형식(yyyy-mm-dd)	작성자	#N/A
"공공취업정보
일렬번호"	작업	#N/A
제목	작업대	#N/A
공공취업정보일렬번호	작업실	#N/A
페이지번호	작업자	#N/A
한페이지결과수	작업장	#N/A
첨부파일 일렬번호	작업주문	#N/A
공공취업정보번호	작업환경측정	#N/A
파일저장url	작용	#N/A
파일명	작용기전	#N/A
파일사이즈	작일	#N/A
정렬순서	작전	#N/A
공공취업정보일렬번호	작전기지	#N/A
공공취업정보일렬번호	작품	#N/A
직급 부모코드	잔가스용기	#N/A
직급 코드	잔고	#N/A
직급 이름	잔고1	#N/A
채용인원	잔고2	#N/A
공공취업정보일렬번호	잔금	#N/A
(NULL)	잔디	#N/A
출력형식(yyyymmdd)	잔량	#N/A
제목	잔량증명서	#N/A
":전체
g01:국가직,
g02:지방직,
g03:공공기관"	잔류	#N/A
"e01:공개경쟁채용정보
e02:특별채용
e03:별정직/계약직
e04:행정지원인력
e05:개방형직위
e06:공모직위
e07:전입공모
e08:공공기관공모"	잔류자	#N/A
공고유형 추가정보	잔액	#N/A
공고유형 추가정보	잔액장	#N/A
공고유형 추가정보	잔여	#N/A
사용자 아이디	잔여배아	#N/A
사용자이름	잔여재산분배	#N/A
공공취업정보일렬번호	잔염	#N/A
구군코드(강남구)	잔존	#N/A
지역명	잔존시설물	#N/A
내용	잔진	#N/A
기관코드	잠금	#N/A
기관명	잠복	#N/A
출력형식(yyyymmdd)	잠사	#N/A
링크URL	잠수작업	#N/A
링크URL	잠식	#N/A
링크URL	잠업	#N/A
출력형식(yyyymmdd)	잠재	#N/A
페이지번호	잠정	#N/A
한페이지결과수	잠정조치	#N/A
기관명 검색어	잡무	#N/A
기관코드	잡수익	#N/A
기관명(풀네임)	잡음	#N/A
기관명	잡종재산	#N/A
조회된 정보의 건수	잡종지	#N/A
페이지번호	잡지	#N/A
한페이지의결과수	잡초	#N/A
페이지번호	장	#N/A
한페이지결과수	장	#N/A
"e01:공개경쟁채용정보
e02:특별채용
e03:별정직/계약직
e04:행정지원인력
e05:개방형직위
e06:공모직위
e07:전입공모
e08:공공기관공모"	장	#N/A
":전체
g01:국가직,
g02:지방직,
g03:공공기관"	장	#N/A
기간명 검색어	장거리	#N/A
지역코드	장관	#N/A
입력형식(yyyy-mm-dd)	장교	#N/A
입력형식(yyyy-mm-dd)	장기	#N/A
키워드 검색어	장기	#N/A
"정렬방향
(오름차순,내림차순)"	장기금융업무	#N/A
조회된 정보의	장기복무제대군인	#N/A
페이지번호	장기신용은행	#N/A
한페이지의결과수	장기채	#N/A
구군코드(강남구)	장난감	#N/A
기관명	장단기	#N/A
출력형식(yyyymmdd)	장단점	#N/A
공공취업정보일렬번호	장래	#N/A
출력형식(yyyymmdd)	장려	#N/A
조회수	장려금	#N/A
출력형식(yyyymmdd)	장려상	#N/A
제목	장례	#N/A
인턴/우선	장루	#N/A
로그인이름	장르	#N/A
검색할 국립공원을 설정	장면	#N/A
검색할 시설물을 설정	장모	#N/A
"요청할 페이지 번호.
(입력없을 시  1)"	장문	#N/A
"페이지당 데이터 수량
(입력없을 시 전체 조회)"	장물죄	#N/A
신청하여 발급받은 인증키값 설정	장부	#N/A
최상위 태그	장부조사	#N/A
검색 결과 내역 태그	장비	#N/A
리스트 검색 결과 COUNT	장비고장	#N/A
"하나의 검색 결과를 의미한 태그
검색된 정보의 수량만큼 반복 된다."	장소	#N/A
POI 식별 코드	장수	#N/A
공원구분 코드	장식	#N/A
분류 코드	장식품	#N/A
일련번호	장애	#N/A
한글 명칭	장애경제인	#N/A
영문 명칭	장애물	#N/A
지번 방식 주소	장애인	#N/A
새주소 방식 주소	장애인기업	#N/A
전화번호	장애인표준사업장	#N/A
고도(m)	장애자	#N/A
경도	장외작업	#N/A
위도	장음	#N/A
사진정보 태그	장인	#N/A
이미지 수량만큼 반복 된다.	장착	#N/A
식별 코드	장치	#N/A
이미지 타입 ()	장치	#N/A
이미지 URL (요청시 ENCODEURI 후 요청)	장치기간	#N/A
사진 정보	장치기간경과물품	#N/A
검색할 국립공원을 설정	장치물품	#N/A
검색할 시설물을 설정	장치장	#N/A
"요청할 페이지 번호.
(입력없을 시  1)"	장치장소	#N/A
"페이지당 데이터 수량
(입력없을 시 전체 조회)"	장티푸스	#N/A
신청하여 발급받은 인증키값 설정	장학	#N/A
최상위 태그	장학금	#N/A
검색 결과 내역 태그	장해	#N/A
리스트 검색 결과 COUNT	장해연금	#N/A
"하나의 검색 결과를 의미한 태그
검색된 정보의 수량만큼 반복 된다."	재	#N/A
POI 식별 코드	재가	#N/A
공원구분 코드	재가노인	#N/A
분류 코드	재가시설	#N/A
일련번호	재가입	#N/A
한글 명칭	재감정회부	#N/A
영문 명칭	재개	#N/A
지번 방식 주소	재개발	#N/A
새주소 방식 주소	재개통	#N/A
전화번호	재건축	#N/A
고도(m)	재검	#N/A
경도	재검사	#N/A
위도	재검증	#N/A
사진정보 태그	재결	#N/A
이미지 수량만큼 반복 된다.	재결청	#N/A
식별 코드	재계산	#N/A
이미지 타입 ()	재고	#N/A
이미지 URL (요청시 ENCODEURI 후 요청)	재고기록	#N/A
사진 정보	재고장	#N/A
검색할 국립공원을 설정	재공고	#N/A
검색할 시설물을 설정	재교부	#N/A
"요청할 페이지 번호.
(입력없을 시  1)"	재구성	#N/A
"페이지당 데이터 수량
(입력없을 시 전체 조회)"	재기	#N/A
신청하여 발급받은 인증키값 설정	재기안	#N/A
최상위 태그	재난	#N/A
검색 결과 내역 태그	재난관리	#N/A
리스트 검색 결과 COUNT	재난관리책임기관	#N/A
"하나의 검색 결과를 의미한 태그
검색된 정보의 수량만큼 반복 된다."	재난대응구역	#N/A
POI 식별 코드	재단	#N/A
공원구분 코드	재단법인	#N/A
분류 코드	재대출	#N/A
일련번호	재등록	#N/A
한글 명칭	재래	#N/A
영문 명칭	재래시장	#N/A
지번 방식 주소	재래식	#N/A
새주소 방식 주소	재래식무기	#N/A
장애인화장실여부 (0: N, 1: Y)	재량	#N/A
고도(m)	재료	#N/A
경도	재매도	#N/A
위도	재무	#N/A
사진정보 태그	재무제표	#N/A
이미지 수량만큼 반복 된다.	재물	#N/A
식별 코드	재물조사	#N/A
이미지 타입 ()	재미	#N/A
이미지 URL (요청시 ENCODEURI 후 요청)	재반송	#N/A
사진 정보	재발	#N/A
검색할 국립공원을 설정	재발급	#N/A
검색할 시설물을 설정	재발송	#N/A
"요청할 페이지 번호.
(입력없을 시  1)"	재발행	#N/A
"페이지당 데이터 수량
(입력없을 시 전체 조회)"	재배	#N/A
신청하여 발급받은 인증키값 설정	재배시험	#N/A
최상위 태그	재배자	#N/A
검색 결과 내역 태그	재배지	#N/A
리스트 검색 결과 COUNT	재배치	#N/A
"하나의 검색 결과를 의미한 태그
검색된 정보의 수량만큼 반복 된다."	재보증	#N/A
POI 식별 코드	재보험	#N/A
공원구분 코드	재부여	#N/A
분류 코드	재분류	#N/A
일련번호	재분배	#N/A
한글 명칭	재불량	#N/A
영문 명칭	재사용	#N/A
지번 방식 주소	재산	#N/A
새주소 방식 주소	재산명시제도	#N/A
전화번호	재산세	#N/A
수용인원	재산세과세표준	#N/A
예약방법 (1: 인터넷, 2: 현장)	재산조회제도	#N/A
고도(m)	재산출자	#N/A
경도	재생	#N/A
위도	재생산	#N/A
사진정보 태그	재선거	#N/A
이미지 수량만큼 반복 된다.	재선택	#N/A
식별 코드	재설계	#N/A
이미지 타입 ()	재설정	#N/A
이미지 URL (요청시 ENCODEURI 후 요청)	재설치	#N/A
사진 정보	재소자	#N/A
검색할 시설물을 설정	재송신	#N/A
검색할 국립공원을 설정	재수납	#N/A
"요청할 페이지 번호.
(입력없을 시  1)"	재수리	#N/A
"페이지당 데이터 수량
(입력없을 시 전체 조회)"	재수집	#N/A
신청하여 발급받은 인증키값 설정	재수출	#N/A
검색 결과 내역 태그	재수출면세	#N/A
최상위 태그	재수탁	#N/A
리스트 검색 결과 COUNT	재수행	#N/A
"하나의 검색 결과를 의미한 태그
검색된 정보의 수량만큼 반복 된다."	재시	#N/A
POI 식별 코드	재시도	#N/A
공원구분 코드	재시작	#N/A
분류 코드	재시험	#N/A
일련번호	재식	#N/A
한글 명칭	재신고	#N/A
영문 명칭	재신청	#N/A
지번 방식 주소	재심	#N/A
새주소 방식 주소	재심사	#N/A
전화번호	재앙	#N/A
대형차 주차가능대수	재연장	#N/A
소형차 주차가능대수	재외	#N/A
주차료 징수여부(0: N, 1: Y)	재외공관	#N/A
고도(m)	재외공무원	#N/A
경도	재외국민	#N/A
위도	재외동포	#N/A
사진정보 태그	재요청	#N/A
이미지 수량만큼 반복 된다.	재원	#N/A
식별 코드	재위임	#N/A
이미지 타입 ()	재위탁	#N/A
이미지 URL (요청시 ENCODEURI 후 요청)	재유치	#N/A
사진 정보	재이동	#N/A
검색할 국립공원을 설정	재이용	#N/A
검색할 시설물을 설정	재임용	#N/A
"요청할 페이지 번호.
(입력없을 시  1)"	재입국	#N/A
"페이지당 데이터 수량
(입력없을 시 전체 조회)"	재입금	#N/A
신청하여 발급받은 인증키값 설정	재입찰	#N/A
최상위 태그	재입학	#N/A
검색 결과 내역 태그	재작성	#N/A
리스트 검색 결과 COUNT	재작업	#N/A
"하나의 검색 결과를 의미한 태그
검색된 정보의 수량만큼 반복 된다."	재적	#N/A
POI 식별 코드	재적용	#N/A
공원구분 코드	재전송	#N/A
분류 코드	재접속	#N/A
일련번호	재정	#N/A
한글 명칭	재정경제부	#N/A
영문 명칭	재정비	#N/A
지번 방식 주소	재정융자특별회계	#N/A
새주소 방식 주소	재조사	#N/A
전화번호	재조정	#N/A
야영동수	재조합	#N/A
야영료 징수여부(0: N, 1: Y)	재지급	#N/A
고도(m)	재지불	#N/A
경도	재직	#N/A
위도	재진입	#N/A
사진정보 태그	재질	#N/A
이미지 수량만큼 반복 된다.	재차	#N/A
식별 코드	재처리	#N/A
이미지 타입 ()	재청구	#N/A
이미지 URL (요청시 ENCODEURI 후 요청)	재축	#N/A
사진 정보	재충전	#N/A
검색할 국립공원을 설정	재택	#N/A
검색할 시설물을 설정	재택근무	#N/A
"요청할 페이지 번호.
(입력없을 시  1)"	재특회계	#N/A
"페이지당 데이터 수량
(입력없을 시 전체 조회)"	재판	#N/A
신청하여 발급받은 인증키값 설정	재판관계인	#N/A
최상위 태그	재판관할권	#N/A
검색 결과 내역 태그	재판권	#N/A
리스트 검색 결과 COUNT	재판매	#N/A
"하나의 검색 결과를 의미한 태그
검색된 정보의 수량만큼 반복 된다."	재판매가격유지행위	#N/A
POI 식별 코드	재판문서	#N/A
공원구분 코드	재판서	#N/A
분류 코드	재판서편철	#N/A
일련번호	재판서편철번호	#N/A
한글 명칭	재판청구권	#N/A
영문 명칭	재평가	#N/A
소개글	재학생	#N/A
고도(m)	재항고	#N/A
경도	재해	#N/A
위도	재해대책	#N/A
사진정보 태그	재해보상부담금	#N/A
이미지 수량만큼 반복 된다.	재해복구보조금	#N/A
식별 코드	재해손실세액공제	#N/A
이미지 타입 ()	재해위로금	#N/A
이미지 URL (요청시 ENCODEURI 후 요청)	재허가	#N/A
사진 정보	재현	#N/A
검색할 국립공원을 설정	재현생산권	#N/A
검색할 시설물을 설정	재형저축	#N/A
"요청할 페이지 번호.
(입력없을 시  1)"	재혼금지기간	#N/A
"페이지당 데이터 수량
(입력없을 시 전체 조회)"	재화	#N/A
신청하여 발급받은 인증키값 설정	재화중량톤수	#N/A
최상위 태그	재확인	#N/A
검색 결과 내역 태그	재활	#N/A
리스트 검색 결과 COUNT	재활동	#N/A
"하나의 검색 결과를 의미한 태그
검색된 정보의 수량만큼 반복 된다."	재활용	#N/A
POI 식별 코드	쟁의행위	#N/A
공원구분 코드	쟁점	#N/A
분류 코드	저	#N/A
일련번호	저가	#N/A
한글 명칭	저감	#N/A
영문 명칭	저감반송파	#N/A
조망길이(m)	저공해엔진	#N/A
조망방위각(도)	저널	#N/A
고도(m)	저녁	#N/A
경도	저당	#N/A
위도	저당권	#N/A
사진정보 태그	저당증권	#N/A
이미지 수량만큼 반복 된다.	저상버스	#N/A
식별 코드	저서	#N/A
이미지 타입 ()	저소득	#N/A
이미지 URL (요청시 ENCODEURI 후 요청)	저소득자	#N/A
사진 정보	저소득층	#N/A
검색할 국립공원을 설정	저속	#N/A
검색할 시설물을 설정	저수	#N/A
"요청할 페이지 번호.
(입력없을 시  1)"	저수조	#N/A
"페이지당 데이터 수량
(입력없을 시 전체 조회)"	저수지	#N/A
신청하여 발급받은 인증키값 설정	저압	#N/A
이미지 수량만큼 반복 된다.	저온	#N/A
사진 정보	저온용기	#N/A
위도	저온저장탱크	#N/A
사진정보 태그	저자	#N/A
경도	저작권	#N/A
이미지 타입 ()	저작인접권	#N/A
식별 코드	저작자	#N/A
이미지 URL (요청시 ENCODEURI 후 요청)	저장	#N/A
최상위 태그	저장능력	#N/A
검색 결과 내역 태그	저장문서함	#N/A
리스트 검색 결과 COUNT	저장설비	#N/A
"하나의 검색 결과를 의미한 태그
검색된 정보의 수량만큼 반복 된다."	저장소	#N/A
POI 식별 코드	저장탱크	#N/A
공원구분 코드	저조	#N/A
분류 코드	저촉	#N/A
일련번호	저축	#N/A
한글 명칭	저축기관	#N/A
영문 명칭	저출산	#N/A
고도(m)	저탄	#N/A
검색할 국립공원을 설정	저하	#N/A
검색할 시설물을 설정	저항	#N/A
"요청할 페이지 번호.
(입력없을 시  1)"	저항권	#N/A
"페이지당 데이터 수량
(입력없을 시 전체 조회)"	저해	#N/A
신청하여 발급받은 인증키값 설정	적격	#N/A
최상위 태그	적군	#N/A
검색 결과 내역 태그	적기	#N/A
리스트 검색 결과 COUNT	적립	#N/A
"하나의 검색 결과를 의미한 태그
검색된 정보의 수량만큼 반복 된다."	적립금	#N/A
POI 식별 코드	적발	#N/A
공원구분 코드	적법	#N/A
분류 코드	적부	#N/A
일련번호	적산법	#N/A
한글 명칭	적색선하증권	#N/A
영문 명칭	적설	#N/A
지번 방식 주소	적성	#N/A
새주소 방식 주소	적시	#N/A
3G감도	적십자	#N/A
"위험지역 안내정보(1: 추락주의, 2: 낙석주의, 3: 낙뢰주의, 4: 곰출현지역, 5: 멧돼지주의, 6: 감전주의, 7: 강풍주의, 8: 출입금지, 
9: 기타)"	적요	#N/A
고도(m)	적용	#N/A
경도	적용일	#N/A
위도	적응	#N/A
사진정보 태그	적임	#N/A
이미지 수량만큼 반복 된다.	적입	#N/A
식별 코드	적자	#N/A
이미지 타입 ()	적재	#N/A
이미지 URL (요청시 ENCODEURI 후 요청)	적재기간연장	#N/A
사진 정보	적재물	#N/A
검색할 국립공원을 설정	적재의무기간	#N/A
검색할 시설물을 설정	적재하중	#N/A
"요청할 페이지 번호.
(입력없을 시  1)"	적절	#N/A
"페이지당 데이터 수량
(입력없을 시 전체 조회)"	적정	#N/A
신청하여 발급받은 인증키값 설정	적정가격	#N/A
최상위 태그	적정공기	#N/A
검색 결과 내역 태그	적조현상	#N/A
리스트 검색 결과 COUNT	적지	#N/A
"하나의 검색 결과를 의미한 태그
검색된 정보의 수량만큼 반복 된다."	적체	#N/A
POI 식별 코드	적출	#N/A
공원구분 코드	적출	#N/A
탐방로코스식별코드	적출입	#N/A
공원구분 코드	적치	#N/A
한글 탐방로코스명칭	적하목록	#N/A
영문 탐방로코스명칭	적하목록관리번호	#N/A
상세구간	적하목록오류	#N/A
코스일정(1: 반나절, 2: 당일, 3: 1박2일, 4: 2박3일)	적하목록작성책임자	#N/A
난이도(1: 상, 2: 중, 3: 하)	적하목록정정	#N/A
추천코스 여부(0: 일반,1: 추천)	적하목록제출의무자	#N/A
가는시간(분)	적하목록취합시스템	#N/A
오는시간(분)	적하보험	#N/A
길이(km)	적합	#N/A
포인트 태그	전	#N/A
포인트 수만큼 반복 된다.	전각	#N/A
식별 코드	전개	#N/A
공원구분코드	전결	#N/A
분류코드	전경	#N/A
일련번호	전고	#N/A
고도(m)	전공	#N/A
경도	전공의	#N/A
위도	전과	#N/A
검색할 국립공원을 설정	전과기록	#N/A
검색할 시설물을 설정	전과일련번호	#N/A
"요청할 페이지 번호.
(입력없을 시  1)"	전과정평가	#N/A
"페이지당 데이터 수량
(입력없을 시 전체 조회)"	전과지문가치번호	#N/A
신청하여 발급받은 인증키값 설정	전광판	#N/A
최상위 태그	전국	#N/A
검색 결과 내역 태그	전국공통선별기준	#N/A
리스트 검색 결과 COUNT	전권대사	#N/A
