필드명,필드길이,필드띄어쓰기,필드특수문자,필드특수문자수
입찰공고차수는 해당 입찰공고에 대한 재공고 및 재입찰 등이 발생되었을 경우 증가되는 수,48,11,No,0
동일한 입찰공고번호에 대한 집행일련번호,21,3,No,0
재입찰번호,5,0,No,0
유찰사유,4,0,No,0
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
공공데이터포털에서 받은 인증키,16,2,No,0
검색하고자하는 입찰공고번호,14,1,No,0
검색하고자하는 입찰공고차수,14,1,No,0
검색하고자하는 입찰분류번호,14,1,No,0
검색하고자하는 재입찰번호,13,1,No,0
결과코드,4,0,No,0
결과메세지,5,0,No,0
한 페이지 결과 수,10,3,No,0
페이지 수,5,1,No,0
데이터 총 개수,8,2,No,0
"해당 공고건에 대한 개찰결과를 구분하는 것으로 개찰이 완료되었는지, 유찰되었는지, 재입찰 할것인지 등을 구분하는 명으로 이 오퍼레이션은 재입찰인 정보 조회",88,18,Yes,4
입찰공고를 관리하기 위한 번호이며 조달청나라장터 공고건의 형식은 년도(4)+월(2)+순번(5)이며 자체전자조달시스템 보유기관은 각 기관별 형식 별도 사용,85,14,Yes,8
입찰공고차수는 해당 입찰공고에 대한 재공고 및 재입찰 등이 발생되었을 경우 증가되는 수,48,11,No,0
동일한 입찰공고번호에 대한 집행일련번호,21,3,No,0
재입찰번호,5,0,No,0
입찰마감일시  “YYYY-MM-DD HH:MM:SS”,29,3,Yes,6
조달업체가 제출한 입찰서를 개찰하는 일시  “YYYY-MM-DD HH:MM:SS”,45,7,Yes,6
재입찰사유,5,0,No,0
공동수급혐정마감일시 “YYYY-MM-DD HH:MM:SS”,32,2,Yes,6
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
방언,2,0,No,0
표준어,3,0,No,0
결과코드,4,0,No,0
결과메시지,5,0,No,0
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
전체 결과 수,7,2,No,0
고유값(키값),7,0,Yes,2
방언,2,0,No,0
표준어,3,0,No,0
품사,2,0,No,0
뜻풀이,3,0,No,0
관련지역,4,0,No,0
예문,2,0,No,0
고유값(키값),7,0,Yes,2
결과코드,4,0,No,0
결과메시지,5,0,No,0
고유값(키값),7,0,Yes,2
방언,2,0,No,0
표준어,3,0,No,0
품사,2,0,No,0
뜻풀이,3,0,No,0
관련지역,4,0,No,0
예문,2,0,No,0
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
"cc:중국
fr:프랑스
gw:독일
ja:일본
ko:한국
uk:영국
us:미국
zzz:기타",42,0,Yes,8
"kor:한국어
jpn:일본어
chi:중국어
eng:영어
ger:독일어
fre:불어
zzz:기타",46,0,Yes,7
0:미등재/1:등재,10,0,Yes,3
0:미등재/1:등재,10,0,Yes,3
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
저자:발행국(TAG008_MD):마크종류(MARCTYPE),32,0,Yes,7
TAG008_SA,9,0,Yes,1
(NULL),6,0,Yes,2
"kor:한국어
jpn:일본어
chi:중국어
eng:영어
ger:독일어
fre:불어
zzz:기타",46,0,Yes,7
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
"SCI,SCIE,SSCI,A&HCI,한국연구재단,한국연구재단(후보),SCOPUS",46,0,Yes,11
구분자 : $,7,2,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
년도(yyyy),8,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
단어,2,0,No,0
결과코드,4,0,No,0
결과메시지,5,0,No,0
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
전체 결과 수,7,2,No,0
고유값,3,0,No,0
대표단어,4,0,No,0
남한단어,4,0,No,0
북한단어,4,0,No,0
남한표기,4,0,No,0
북한표기,4,0,No,0
남북표기,4,0,No,0
다른표기,4,0,No,0
남북발음,4,0,No,0
남한발음,4,0,No,0
북한발음,4,0,No,0
다른발음,4,0,No,0
남북문법,4,0,No,0
남한문법,4,0,No,0
북한문법,4,0,No,0
다른문법,4,0,No,0
의미,2,0,No,0
다른 의미,5,1,No,0
고유값(키값),7,0,Yes,2
결과메시지,5,0,No,0
고유값,3,0,No,0
대표단어,4,0,No,0
남한단어,4,0,No,0
북한단어,4,0,No,0
남한표기,4,0,No,0
북한표기,4,0,No,0
남북표기,4,0,No,0
다른표기,4,0,No,0
남북발음,4,0,No,0
남한발음,4,0,No,0
북한발음,4,0,No,0
다른발음,4,0,No,0
남북문법,4,0,No,0
남한문법,4,0,No,0
북한문법,4,0,No,0
다른문법,4,0,No,0
의미,2,0,No,0
다른 의미,5,1,No,0
결과코드,4,0,No,0
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
표제어,3,0,No,0
의미,2,0,No,0
결과코드,4,0,No,0
결과메시지,5,0,No,0
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
전체 결과 수,7,2,No,0
고유값(키값),7,0,Yes,2
표제어,3,0,No,0
의미,2,0,No,0
품사,2,0,No,0
조회수,3,0,No,0
고유값(키값),7,0,Yes,2
결과코드,4,0,No,0
결과메시지,5,0,No,0
고유값(키값),7,0,Yes,2
표제어,3,0,No,0
의미,2,0,No,0
품사,2,0,No,0
조회수,3,0,No,0
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
우리말,3,0,No,0
의미,2,0,No,0
결과코드,4,0,No,0
결과메시지,5,0,No,0
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
전체 결과 수,7,2,No,0
고유값(키값),7,0,Yes,2
우리말,3,0,No,0
선정일,3,0,No,0
의미,2,0,No,0
고유값(키값),7,0,Yes,2
결과코드,4,0,No,0
결과메시지,5,0,No,0
고유값(키값),7,0,Yes,2
우리말,3,0,No,0
선정일,3,0,No,0
의미,2,0,No,0
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
공공데이터포털에서 받은 인증키,16,2,No,0
조회하고자 하는 물품분류번호 시작번호,20,3,No,0
조회하고자 하는 물품분류번호 종료번호,20,3,No,0
조회하고자 하는 물품분류명으로 Like 검색 예)전기시스템,32,5,Yes,1
결과코드,4,0,No,0
결과메세지,5,0,No,0
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
전체 결과 수,7,2,No,0
품명에 대한 분류번호로서 8자리로 표시,21,4,No,0
물품분류번호 8자리에 해당하는 물품의 한글이름,25,4,No,0
물품정보에 대한 내용 연수,14,3,No,0
물품정보 사용 시작일자 'YYYY-MM-DD',25,3,Yes,4
물품정보 사용 종료일자 'YYYY-MM-DD',25,3,Yes,4
물품목록정보에 대한 변경사유,15,2,No,0
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
공공데이터포털에서 받은 인증키,16,2,No,0
상위 물품분류ID,9,1,No,0
결과코드,4,0,No,0
결과메세지,5,0,No,0
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
전체 결과 수,7,2,No,0
물품분류번호,6,0,No,0
물품분류번호에 해당하는 물품의 한글이름,21,3,No,0
물품분류 관련 설명,10,2,No,0
물품분류번호의 적용여부,12,1,No,0
물품분류번호의 사용여부,12,1,No,0
물품분류번호의 삭제여부,12,1,No,0
"물품분류번호 2,4,6,8 단위일 경우에는 물품분류구분코드가 'sp'이고 10단위 물품분류번호(세부품명번호)일 경우는 물품분류코드가 ""sn""",82,10,Yes,13
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
공공데이터포털에서 받은 인증키,16,2,No,0
조회하고자 하는 세부품명번호,15,2,No,0
조회하고자 하는 물품식별번호,15,2,No,0
조회하고자 하는 영문품명,13,2,No,0
조회하고자 하는 품명,11,2,No,0
조회하고자 하는 한글품목명,14,2,No,0
검색하고자 하는 조회시작일시로 조회일시는 물품식별번호 등록일시,34,5,No,0
검색하고자 하는 조회종료일시로 조회일시는 물품식별번호 등록일시,34,5,No,0
결과코드,4,0,No,0
결과메세지,5,0,No,0
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
전체 결과 수,7,2,No,0
순번,2,0,No,0
물품이미지(대),8,0,Yes,2
품명에 대한 분류번호로서 8자리로 표시,21,4,No,0
품목에 대한 고유번호로서 8자리로 표시,21,4,No,0
품명에 대한 분류번호로서 10자리로 표시,22,4,No,0
물품분류번호 8자리에 해당하는 물품의 한글이름,25,4,No,0
한글품명에 대한 영문이름,13,2,No,0
"세부품명, 제조업체명, 제작국/모델명, 특성값 등 기본적인 규격사항 등이 기록된 품목의 명칭",53,10,Yes,6
삭제유무,4,0,No,0
사용여부,4,0,No,0
조달업체등록번호,8,0,No,0
물품의 제조업체명,9,1,No,0
물품식별번호에 대한 정보 등록일시  'YYYY-MM-DD HH24:MI',40,6,Yes,5
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
공공데이터포털에서 받은 인증키,16,2,No,0
조회하고자 하는 물품분류번호,15,2,No,0
조회하고자 하는 세부품명번호,15,2,No,0
조회하고자 하는 영문품명,13,2,No,0
조회하고자 하는 품명,11,2,No,0
결과코드,4,0,No,0
결과메세지,5,0,No,0
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
전체 결과 수,7,2,No,0
순번,2,0,No,0
품명에 대한 분류번호로서 8자리로 표시,21,4,No,0
물품분류번호 8자리에 해당하는 물품의 한글이름,25,4,No,0
한글품명에 대한 영문이름,13,2,No,0
품명에 대한 분류번호로서 10자리로 표시,22,4,No,0
세부품명번호 10자리에 대한 한글명,19,3,No,0
세부품명번호 10자리에 대한 영문명,19,3,No,0
세부품명번호 10자리에 대한 매핑건수,20,3,No,0
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
공공데이터포털에서 받은 인증키,16,2,No,0
조회하고자 하는 세부품명번호,15,2,No,0
조회하고자 하는 물품식별번호 (G2B물품번호),25,3,Yes,2
조회하고자 하는 물품의 제조업체명,18,3,No,0
조회하고자 하는 한글품목명,14,2,No,0
"조회하고자 하는 제조업체의 지역코드 11 : 서울특별시, 26 : 부산광역시, 27 : 대구광역시, 28 : 인천광역시, 29 : 광주광역시, 30 : 대전광역시, 31 : 울산광역시, 36 : 세종특별자치시, 41 : 경기도, 42 : 강원도, 43 : 충청북도, 44 : 충청남도, 45 : 전라북도, 46 : 전라남도, 47 : 경상북도, 48 : 경상남도, 50 : 제주도,99 : 기타",222,56,Yes,37
결과코드,4,0,No,0
결과메세지,5,0,No,0
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
전체 결과 수,7,2,No,0
순번,2,0,No,0
품명에 대한 고유번호로서 8자리로 표시,21,4,No,0
품목에 대한 고유번호로서 8자리로 표시,21,4,No,0
품명에 대한 고유번호로서 10자리로 표시,22,4,No,0
물품분류번호 8자리에 해당하는 물품의 한글이름,25,4,No,0
한글품명에 대한 영문이름,13,2,No,0
"세부품명, 제조업체명, 제작국/모델명, 특성값 등 기본전인 규격사항등이 기록된 품목의 명칭",52,9,Yes,6
삭제유무,4,0,No,0
사용여부,4,0,No,0
물품의 제조업체명,9,1,No,0
제조업체의 지역코드,10,1,No,0
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
공공데이터포털에서 받은 인증키,16,2,No,0
"현재 물품분류 번호/ 미입력 시 전체 리스트, 변경후물품분류번호로 확인 가능",44,9,Yes,4
결과코드,4,0,No,0
결과메세지,5,0,No,0
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
전체 결과 수,7,2,No,0
순번,2,0,No,0
물품분류구분,6,0,No,0
변경전물품분류번호,9,0,No,0
번경전품명,5,0,No,0
현재 물품분류번호,9,1,No,0
현재 품명,5,1,No,0
"N:품명변경, C:분류이동",16,1,Yes,5
물품변경 요청번호,9,1,No,0
"물품분류구분코드, sp:8단위이하품목분류, sn:10단위품목분류",37,2,Yes,6
변경구분코드,6,0,No,0
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
공공데이터포털에서 받은 인증키,16,2,No,0
조회하고자 하는 물품식별번호,15,2,No,0
결과코드,4,0,No,0
결과메세지,5,0,No,0
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
전체 결과 수,7,2,No,0
순번,2,0,No,0
물품식별번호(품목에 대한 고유번호로서 8자리로 표시),29,4,Yes,2
변경전 물품분류번호,10,1,No,0
변경후 물품분류번호,10,1,No,0
변경전 세부품명번호,10,1,No,0
변경후 세부품명번호,10,1,No,0
변경전 물품속성값,9,1,No,0
변경후 물품속성값,9,1,No,0
물품분류 정보의 변경일자  'YYYY-MM-DD',27,4,Yes,4
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
공공데이터포털에서 받은 인증키,16,2,No,0
조회하고자 하는 물품분류2단위 시작번호,21,3,No,0
조회하고자 하는 물품분류2단위 종료번호,21,3,No,0
조회하고자 하는 물품분류명으로 Like 검색 예)조약돌,30,5,Yes,1
조회하고자 하는 영문품명,13,2,No,0
결과코드,4,0,No,0
결과메세지,5,0,No,0
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
전체 결과 수,7,2,No,0
2단위 물품 분류번호,11,2,No,0
물품에 대한 2단위 물품분류명,16,3,No,0
물품에 대한 2단위 물품분류 영문명,19,4,No,0
물품 분류에 대한 상세설명,14,3,No,0
물품분류번호의 사용여부,12,1,No,0
물품분류번호에 대한 정보 변경일자  'YYYY-MM-DD',32,5,Yes,4
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
공공데이터포털에서 받은 인증키,16,2,No,0
조회하고자 하는 물품분류4단위 시작번호,21,3,No,0
조회하고자 하는 물품분류4단위 종료번호,21,3,No,0
조회하고자 하는 물품분류명으로 Like 검색 예)조약돌,30,5,Yes,1
조회하고자 하는 영문품명,13,2,No,0
결과코드,4,0,No,0
결과메세지,5,0,No,0
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
전체 결과 수,7,2,No,0
4단위 물품 분류번호,11,2,No,0
물품에 대한 4단위 물품분류명,16,3,No,0
물품에 대한 4단위 물품분류 영문명,19,4,No,0
물품 분류에 대한 상세설명,14,3,No,0
물품분류번호의 사용여부,12,1,No,0
물품분류번호에 대한 정보 변경일자 'YYYY-MM-DD',31,4,Yes,4
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
공공데이터포털에서 받은 인증키,16,2,No,0
조회하고자 하는 물품분류6단위 시작번호,21,3,No,0
조회하고자 하는 물품분류6단위 종료번호,21,3,No,0
조회하고자 하는 물품분류명으로 Like 검색 예)조약돌,30,5,Yes,1
조회하고자 하는 영문품명,13,2,No,0
결과코드,4,0,No,0
결과메세지,5,0,No,0
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
전체 결과 수,7,2,No,0
6단위 물품 분류번호,11,2,No,0
물품에 대한 6단위 물품분류명,16,3,No,0
물품에 대한 6단위 물품분류 영문명,19,4,No,0
물품 분류에 대한 상세설명,14,3,No,0
물품분류번호의 사용여부,12,1,No,0
물품분류번호에 대한 정보 변경일자  'YYYY-MM-DD',32,5,Yes,4
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
공공데이터포털에서 받은 인증키,16,2,No,0
조회하고자 하는 물품분류8단위 시작번호,21,3,No,0
조회하고자 하는 물품분류8단위 종료번호,21,3,No,0
조회하고자 하는 물품분류명으로 Like 검색 예)조약돌,30,5,Yes,1
조회하고자 하는 영문품명,13,2,No,0
결과코드,4,0,No,0
결과메세지,5,0,No,0
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
전체 결과 수,7,2,No,0
품명에 대한 분류번호로서 8자리로 표시,21,4,No,0
물품분류번호 8자리에 해당하는 물품의 한글이름,25,4,No,0
한글품명에 대한 영문이름,13,2,No,0
물품 분류에 대한 상세설명,14,3,No,0
물품분류번호의 사용여부,12,1,No,0
물품분류번호에 대한 정보 변경일자  'YYYY-MM-DD',32,5,Yes,4
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
공공데이터포털에서 받은 인증키,16,2,No,0
조회하고자 하는 물품분류10단위 시작번호,22,3,No,0
조회하고자 하는 물품분류10단위 종료번호,22,3,No,0
조회하고자 하는 물품분류명으로 Like 검색 예)조약돌,30,5,Yes,1
조회하고자 하는 세부영문품명,15,2,No,0
결과코드,4,0,No,0
결과메세지,5,0,No,0
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
전체 결과 수,7,2,No,0
10단위 물품 분류번호,12,2,No,0
세부품명번호 10자리에 대한 한글명,19,3,No,0
세부품명에 대한 영문명,12,2,No,0
세부품명에 대한 상세설명,13,2,No,0
물품분류번호의 사용여부,12,1,No,0
물품분류번호에 대한 정보 변경일자  'YYYY-MM-DD',32,5,Yes,4
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
공공데이터포털에서 받은 인증키,16,2,No,0
변경일자 범위 (시작일자) 'YYYYMMDD',25,3,Yes,4
변경일자 범위 (종료일자) 'YYYYMMDD',25,3,Yes,4
"조회하고자 하는 물품분류번호 (물품분류번호는 2단위, 4단위, 6단위, 8단위로 입력 가능)",53,9,Yes,7
결과코드,4,0,No,0
결과메세지,5,0,No,0
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
전체 결과 수,7,2,No,0
"변경유형 타입 신규추가시 'I', 변경시 'U', 삭제시 'D'",37,7,Yes,10
품명에 대한 분류번호로서 8자리로 표시,21,4,No,0
물품분류번호 8자리에 대한 한글명,18,3,No,0
물품에 대한 분류 영문명,13,3,No,0
물품 분류에 대한 상세설명,14,3,No,0
물품분류번호에 대한 정보 등록일자  'YYYY-MM-DD HH24:MI',40,6,Yes,5
물품분류번호에 대한 정보 변경일자  'YYYY-MM-DD HH24:MI',40,6,Yes,5
변경 후 물품분류번호,11,2,No,0
변경 후 물품분류명,10,2,No,0
변경 전 물품분류번호,11,2,No,0
변경 전 물품분류명,10,2,No,0
물품분류번호나 물품분류명이 변경된 사유,21,3,No,0
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
공공데이터포털에서 받은 인증키,16,2,No,0
페이지번호,5,0,No,0
한 페이지 결과 수,10,3,No,0
결과코드,4,0,No,0
결과메시지,5,0,No,0
한 페이지 결과 수,10,3,No,0
3,1,0,No,0
전체 결과 수,7,2,No,0
item 번호,7,1,No,0
설치주소(상세주소),10,0,Yes,2
설치장소,4,0,No,0
주소(시군구),7,0,Yes,2
관리자,3,0,No,0
관리자 연락처,7,1,No,0
AED 제조사,7,1,No,0
AED 모델명,7,1,No,0
설치기관명,5,0,No,0
주소(시도),6,0,Yes,2
좌표(경도),6,0,Yes,2
좌표(위도),6,0,Yes,2
우편번호(앞자리),9,0,Yes,2
우편번호(뒤자리),9,0,Yes,2
설치기관 연락처,8,1,No,0
AED 제조번호,8,1,No,0
(NULL),6,0,Yes,2
ISO 국가코드,8,1,No,0
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
한글 국가명(ISO국가코드와 중복조회 할 수 없음),28,5,Yes,2
영문 국가명(ISO국가코드와 중복조회 할 수 없음),28,5,Yes,2
ISO 국가코드,8,1,No,0
ISO 국가코드,8,1,No,0
ISO 국가코드,8,1,No,0
ISO 국가코드,8,1,No,0
ISO 국가코드,8,1,No,0
ISO 국가코드,8,1,No,0
ISO 국가코드,8,1,No,0
ISO 국가코드,8,1,No,0
ISO 국가코드,8,1,No,0
결과코드,4,0,No,0
결과메시지,5,0,No,0
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
전체 결과 수,7,2,No,0
고유값(키값),7,0,Yes,2
국가명,3,0,No,0
영문 국가명,6,1,No,0
대륙,2,0,No,0
사건사고 현황,7,1,No,0
등록일,3,0,No,0
국기 이미지 경로,9,2,No,0
여행위험지도 경로,9,1,No,0
고유값(키값),7,0,Yes,2
결과코드,4,0,No,0
결과메시지,5,0,No,0
고유값(키값),7,0,Yes,2
국가명,3,0,No,0
영문 국가명,6,1,No,0
대륙,2,0,No,0
사건사고 현황,7,1,No,0
등록일,3,0,No,0
국기 이미지 경로,9,2,No,0
공공데이터포털에서 받은 인증키,16,2,No,0
페이지번호,5,0,No,0
한 페이지 결과 수,10,3,No,0
주요 검색어,6,1,No,0
검색어 명 또는 음식점구분으로 검색된 자료의 dataSid값,33,6,No,0
"B01:추어탕,B02:한식,B03:중식,B04:양식,B05:뷔페,B06:기타,B07:한정식,B08:정육식당",61,0,Yes,17
결과코드,4,0,No,0
결과메시지,5,0,No,0
한 페이지 결과 수,10,3,No,0
페이지번호,5,0,No,0
전체 결과 수,7,2,No,0
음식점주소,5,0,No,0
소개,2,0,No,0
데이터번호,5,0,No,0
부대시설,4,0,No,0
부가정보,4,0,No,0
기타사항,4,0,No,0
홈페이지,4,0,No,0
소개,2,0,No,0
휴무일,3,0,No,0
"음식점구분 B01:추어탕,B02:한식,B03:중식,B04:양식,B05:뷔페,B06:기타,B07:한정식,B08:정육식당",67,1,Yes,17
음식점이름,5,0,No,0
문의전화,4,0,No,0
휴무일,3,0,No,0
대표이미지,5,0,No,0
경도(WGS84),9,0,Yes,2
위도(WGS84),9,0,Yes,2
공공데이터포털에서 받은 인증키,16,2,No,0
게시물 일련번호로 조회,12,2,No,0
결과코드,4,0,No,0
결과메시지,5,0,No,0
전체 결과 수,7,2,No,0
데이터 번호,6,1,No,0
파일 실제이름,7,1,No,0
이미지 파일 설명,9,2,No,0
이미지 파일 논리명,10,2,No,0
이미지 파일 고유값,10,2,No,0
이미지 원본 파일명,10,2,No,0
이미지 쎔네일 파일명,11,2,No,0
공공데이터포털에서 받은 인증키,16,2,No,0
현재 위치의 위도값(WGS84),17,2,Yes,2
현재 위치의 경도값(WGS84),17,2,Yes,2
반경거리(km),8,0,Yes,2
"B01:추어탕,B02:한식,B03:중식,B04:양식,B05:뷔페,B06:기타,B07:한정식,B08:정육식당",61,0,Yes,17
결과코드,4,0,No,0
결과메시지,5,0,No,0
전체 결과 수,7,2,No,0
음식점주소,5,0,No,0
소개,2,0,No,0
데이터번호,5,0,No,0
반경거리(km),8,0,Yes,2
부대시설,4,0,No,0
부가정보,4,0,No,0
기타사항,4,0,No,0
홈페이지,4,0,No,0
소개,2,0,No,0
휴무일,3,0,No,0
"음식점구분 B01:추어탕,B02:한식,B03:중식,B04:양식,B05:뷔페,B06:기타,B07:한정식,B08:정육식당",67,1,Yes,17
음식점이름,5,0,No,0
문의전화,4,0,No,0
대표이미지,5,0,No,0
경도(WGS84),9,0,Yes,2
위도(WGS84),9,0,Yes,2
서비스 인증키,7,1,No,0
유형,2,0,No,0
자료고유인덱스,7,0,No,0
명칭,2,0,No,0
소개,2,0,No,0
대표이미지,5,0,No,0
서비스 인증키,7,1,No,0
음식점조회ID,7,0,No,0
자료고유인덱스,7,0,No,0
명칭,2,0,No,0
소개,2,0,No,0
대표이미지,5,0,No,0
서비스 인증키,7,1,No,0
음식점조회ID,7,0,No,0
자료고유인덱스,7,0,No,0
명칭,2,0,No,0
소개,2,0,No,0
대표이미지,5,0,No,0
서비스 인증키,7,1,No,0
음식점조회ID,7,0,No,0
자료고유인덱스,7,0,No,0
명칭,2,0,No,0
소개,2,0,No,0
대표이미지,5,0,No,0
서비스 인증키,7,1,No,0
조회용인덱스,6,0,No,0
자료고유인덱스,7,0,No,0
명칭,2,0,No,0
주소,2,0,No,0
전화,2,0,No,0
영업시간,4,0,No,0
휴무일,3,0,No,0
홈페이지,4,0,No,0
대표이미지,5,0,No,0
소개,2,0,No,0
상세정보,4,0,No,0
좌표(x),5,0,Yes,2
좌표(y),5,0,Yes,2
구분,2,0,No,0
(NULL),6,0,Yes,2
"조회값이 1-상품코드2-상품명, 3-날짜",24,2,Yes,6
조회값(코드/상품명/날짜(수정입력일)),21,0,Yes,6
페이지 번호,6,1,No,0
한 페이지 결과 수,10,3,No,0
결과코드,4,0,No,0
결과메시지,5,0,No,0
한 페이지 결과 수,10,3,No,0
페이지 번호,6,1,No,0
전체 결과 수,7,2,No,0
순번,2,0,No,0
상품ID(키값),8,0,Yes,2
상품명,3,0,No,0
대분류_코드,6,0,Yes,1
대분류_분류명,7,0,Yes,1
중분류_코드,6,0,Yes,1
중분류_분류명,7,0,Yes,1
소분류_코드,6,0,Yes,1
소분류_분류명,7,0,Yes,1
모델명(상표명),8,0,Yes,2
GTIN코드(바코드),11,0,Yes,2
규격,2,0,No,0
환경인증번호,6,0,No,0
친환경인증시작일,8,0,No,0
친환경인증종료일,8,0,No,0
GR인증번호,6,0,No,0
GR인증시작일,7,0,No,0
GR인증종료일,7,0,No,0
G2B식별번호,7,0,No,0
환경인증상태,6,0,No,0
환경인증상태에 대한 코드 내용,16,3,No,0
GR인증상태,6,0,No,0
GR인증상태에 대한 코드 내용,16,3,No,0
인증사유코드,6,0,No,0
인증사유코드에 대한 내용,13,2,No,0
인증기업코드(사업자등록번호),15,0,Yes,2
인증기업명,5,0,No,0
대표이사,4,0,No,0
주소,2,0,No,0
상세주소,4,0,No,0
전화번호,4,0,No,0
FAX,3,0,No,0
판매처,3,0,No,0
판매처전화번호,7,0,No,0
a/s 업체,6,1,Yes,1
a/s 전화번호,8,1,Yes,1
a/s 시간정보,8,1,Yes,1
서비스 인증키,7,1,No,0
본문 데이터,6,1,No,0
조회수,3,0,No,0
참조번호,4,0,No,0
게시물 제목,6,1,No,0
작성부서,4,0,No,0
작성일,3,0,No,0
게시물 인덱스,7,1,No,0
서비스 인증키,7,1,No,0
본문 데이터,6,1,No,0
조회수,3,0,No,0
참조번호,4,0,No,0
게시물 제목,6,1,No,0
작성부서,4,0,No,0
작성일,3,0,No,0
게시물 인덱스,7,1,No,0
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
(NULL),6,0,Yes,2
사용자가 보고있는지도 확대,14,2,No,0
사용자가 보고있는지도 축소,14,2,No,0
단계별 확대 축소,9,2,No,0
(NULL),6,0,Yes,2
사용자 정의 레이어 이름,13,3,No,0
지도 서비스를 제공하는 서버의 서비스 URL,24,5,No,0
"사용자 정의 레이어 좌표계
구글좌표계(EPSG:900913)",32,3,Yes,3
지도서비스를 제공하는 서버의 서비스 레이어명,24,4,No,0
레이어를 표현하는 옵션을 정의,16,3,No,0
실제 NIX 파일 이름,12,3,No,0
사용자가 줌인 줌아웃을 요청하면 해당영역에 해당하는 지도이미지를 가져온다.,41,7,Yes,1
사용자가 이동 요청하면 이동지역에 해당하는 지도이미지를 가져온다.,36,6,Yes,1
사용자가 추가한 지도이미지를 가져온다.,21,3,Yes,1
범례이미지,5,0,No,0
실제 NIX 파일 이름,12,3,No,0
항공사진 이미지를 가져온다.,15,2,Yes,1
실제 NIX 파일 이름,12,3,No,0
항공사진 이미지를 가져온다.,15,2,Yes,1
실제 NIX 파일 이름,12,3,No,0
